iter	RMSE
0	0.3957144656
1	0.3956025715
2	0.3954941971
3	0.3953902539
4	0.3951747605
5	0.3950715482
6	0.3947975787
7	0.3947064864
8	0.3946195495
9	0.3945327193
10	0.3942767007
11	0.3940309329
12	0.3939554797
13	0.3938813421
14	0.3938103925
15	0.3937432302
16	0.3934740647
17	0.3934113797
18	0.3932092566
19	0.3929760389
20	0.3929202624
21	0.3927242335
22	0.3926709532
23	0.3926207657
24	0.392466256
25	0.3924246452
26	0.3923784369
27	0.3923341165
28	0.3922894121
29	0.3921548385
30	0.3921151073
31	0.3920225326
32	0.3919903633
33	0.3919594354
34	0.391925584
35	0.3918136295
36	0.3917834756
37	0.391642225
38	0.3915045519
39	0.3914750593
40	0.3914444725
41	0.3914157974
42	0.3913728791
43	0.3913458274
44	0.3912917422
45	0.3912654668
46	0.3911490191
47	0.3911116942
48	0.3910191792
49	0.3908651156
50	0.3908446792
51	0.3907339027
52	0.3906044708
53	0.3905463327
54	0.3904323436
55	0.3904119977
56	0.3902886304
57	0.3902314737
58	0.3901536622
59	0.3900995785
60	0.3900473691
61	0.3900308232
62	0.3900129973
63	0.389994327
64	0.3898762587
65	0.3898603184
66	0.3898474246
67	0.3898321889
68	0.3897359603
69	0.3896302948
70	0.3896114818
71	0.3895296796
72	0.3894823271
73	0.3894085525
74	0.3893562941
75	0.3892932965
76	0.3892436634
77	0.3891827347
78	0.3891420629
79	0.3891076341
80	0.3890898797
81	0.3890588857
82	0.3889732286
83	0.3889234319
84	0.3888806075
85	0.3888707579
86	0.3888600396
87	0.3888184845
88	0.3887655507
89	0.3887227071
90	0.3887144771
91	0.3887049655
92	0.3886729883
93	0.3886632994
94	0.3885866042
95	0.3885392659
96	0.3884895013
97	0.3884325414
98	0.388374722
99	0.3883669161
100	0.3883540723
101	0.3883460536
102	0.3883127189
103	0.388294529
104	0.3882617831
105	0.3882538216
106	0.3881861641
107	0.3881191221
108	0.3881120637
109	0.3880700161
110	0.3880386498
111	0.3879821186
112	0.3879366075
113	0.3878464432
114	0.38784203
115	0.3877840406
116	0.3877534404
117	0.3877480153
118	0.3877004123
119	0.3876955631
120	0.3876757421
121	0.3876522902
122	0.3876495616
123	0.387631852
124	0.38759524
125	0.3875661032
126	0.3875483488
127	0.3875315682
128	0.387513615
129	0.3874983065
130	0.3874951754
131	0.3874767784
132	0.387438211
133	0.3874041472
134	0.3873757136
135	0.3873719696
136	0.3873121375
137	0.387263288
138	0.3872101129
139	0.3871813671
140	0.3871770757
141	0.3871578154
142	0.3871358107
143	0.3870849418
144	0.3870525644
145	0.3869766626
146	0.3869666369
147	0.3869195495
148	0.3868790318
149	0.3868303947
150	0.3867632851
151	0.3867139594
152	0.3866794038
153	0.3866496779
154	0.3866053659
155	0.3865898484
156	0.3865720599
157	0.3865399888
158	0.3864938362
159	0.3864679839
160	0.3864280324
161	0.3863906922
162	0.3863266917
163	0.3862796112
164	0.3862220788
165	0.38621002
166	0.3862004157
167	0.3861601647
168	0.386122882
169	0.3860579881
170	0.3860026631
171	0.3859617018
172	0.3859212982
173	0.3858788557
174	0.3858535005
175	0.3857892478
176	0.3857520508
177	0.3857085724
178	0.3856715999
179	0.3856330051
180	0.3856299687
181	0.3856070393
182	0.3855582658
183	0.3855555738
184	0.3855167034
185	0.3854892057
186	0.3854602213
187	0.3853893077
188	0.3853439184
189	0.3852870125
190	0.3852580954
191	0.3852552444
192	0.3852527366
193	0.385246427
194	0.385240586
195	0.3852065315
196	0.3851408524
197	0.3851352333
198	0.3851009742
199	0.3850983129
200	0.3850663747
201	0.3850329076
202	0.3850307651
203	0.3849963309
204	0.3849618373
205	0.3849568638
206	0.3849152077
207	0.3848868305
208	0.3848798475
209	0.3848435323
210	0.3848064515
211	0.3848016917
212	0.3847615907
213	0.3847298463
214	0.3846966515
215	0.3846594277
216	0.3846179933
217	0.384597814
218	0.3845700667
219	0.384521827
220	0.384493288
221	0.3844917272
222	0.3844642975
223	0.3844187465
224	0.3844106094
225	0.3843740671
226	0.3843722645
227	0.3843372991
228	0.3843113707
229	0.3842781775
230	0.3842757217
231	0.384231962
232	0.3842090618
233	0.3841818606
234	0.3841505833
235	0.3841244495
236	0.3841233181
237	0.3840759433
238	0.3840341822
239	0.3839817512
240	0.3839798332
241	0.3839383159
242	0.383899029
243	0.3838864587
244	0.3838493639
245	0.3838195411
246	0.3837837191
247	0.3837424885
248	0.3837116289
249	0.3836939588
250	0.3836463341
251	0.3836150009
252	0.3835577202
253	0.383545489
254	0.3834972987
255	0.3834811995
256	0.383470705
257	0.383422502
258	0.3834173408
259	0.3834109023
260	0.3834099529
261	0.3833910348
262	0.3833615583
263	0.3833078019
264	0.3832920428
265	0.3832905722
266	0.3832899215
267	0.3832623329
268	0.3832022075
269	0.3832015027
270	0.3831764938
271	0.3831036337
272	0.3830633995
273	0.3830322142
274	0.3830005229
275	0.3829659416
276	0.3829200963
277	0.3828851953
278	0.3828315554
279	0.3828308939
280	0.382829277
281	0.3828027616
282	0.3828013478
283	0.3827458326
284	0.3827402622
285	0.3826952592
286	0.3826440779
287	0.3826220925
288	0.3825927943
289	0.3825503168
290	0.382499922
291	0.382472608
292	0.3824715225
293	0.3824664282
294	0.3824657378
295	0.3824488437
296	0.3824483076
297	0.3824305998
298	0.3824067313
299	0.3823854468
300	0.3823619626
301	0.3823401551
302	0.3823056619
303	0.3822817742
304	0.3822654492
305	0.3822409083
306	0.3822109965
307	0.3822091996
308	0.3821667497
309	0.3821471219
310	0.3821022706
311	0.3820942675
